Party,Criminal Case,Total Assets,Liabilities,state,Education
BJP,0,6100000,300000,MADHYA PRADESH,Graduate Professional
BJP,0,80000000,5700000,MADHYA PRADESH,12th Pass
NCP,0,70000000,0,NAGALAND,Post Graduate
AAP,4,1500000,2700000,DELHI,Post Graduate
BJP,0,10000000,600000,UTTAR PRADESH,Post Graduate
BJP,0,280000000,80000000,KARNATAKA,10th Pass
NCP,4,680000000,40000000,MAHARASHTRA,Graduate
INC,3,60000000,6900000,KARNATAKA,Graduate Professional
BJP,0,6600000,900000,GUJARAT,Literate
YSRCP,2,150000000,60000000,ANDHRA PRADESH,Graduate Professional
BJP,3,330000000,40000000,KARNATAKA,12th Pass
INC,0,0,200000,CHHATTISGARH,12th Pass
AITC,1,20000000,1800000,WEST BENGAL,Graduate Professional
BJP,0,20000000,0,ARUNACHAL PRADESH,Graduate
AITC,3,10000000,4100000,WEST BENGAL,Post Graduate
BJP,0,60000000,3600000,MADHYA PRADESH,12th Pass
AITC,0,130000000,20000000,WEST BENGAL,8th Pass
BJP,0,330000000,60000000,CHHATTISGARH,Post Graduate
DMK,25,20000000,1700000,TAMIL NADU,10th Pass
BJP,1,10000000,1200000,UTTAR PRADESH,Graduate
DMK,0,40000000,300000,TAMIL NADU,Graduate Professional
AIADMK,0,50000000,0,TAMIL NADU,10th Pass
INC,0,0,1700000,MAHARASHTRA,Graduate Professional
BJP,0,20000000,1800000,GUJARAT,Doctorate
SP,3,100000000,0,UTTAR PRADESH,10th Pass
BJD,0,30000000,400000,ODISHA,Graduate Professional
BJP,0,80000000,10000000,GOA,Post Graduate
INC,18,6200000,4000000,KERALA,10th Pass
AAP,0,10000000,3200000,PUNJAB,8th Pass
RJD,4,8400000,0,BIHAR,10th Pass
BJP,1,20000000,9500000,MAHARASHTRA,10th Pass
BJD,0,40000000,1600000,ODISHA,Graduate
BJP,0,0,0,GUJARAT,Others
CPI(M),1,3400000,400000,KERALA,Graduate
CPI(M),4,2700000,0,TRIPURA,12th Pass
JMM,3,600000,400000,JHARKHAND,Graduate
NCP,0,160000000,0,MAHARASHTRA,12th Pass
SP,1,10000000,5000000,UTTAR PRADESH,Post Graduate
IND,1,3700000,0,PUDUCHERRY,Graduate Professional
SP,0,10000000,3600000,UTTAR PRADESH,Post Graduate
SP,2,10000000,0,UTTAR PRADESH,Graduate
INC,1,70000000,2500000,KARNATAKA,Graduate
CPI(M),1,5900000,1400000,KERALA,Graduate Professional
SP,0,20000000,1500000,UTTAR PRADESH,Post Graduate
BJP,9,7100000,100000,WEST BENGAL,Graduate
BJP,0,50000000,0,CHHATTISGARH,12th Pass
INC,6,20000000,3600000,BIHAR,Graduate
BJP,1,0,600000,GUJARAT,Graduate Professional
AITC,0,70000000,10000000,WEST BENGAL,Graduate
BJP,0,200000000,50000000,RAJASTHAN,10th Pass
BJP,1,70000000,9500000,UTTAR PRADESH,Graduate Professional
SHS,3,190000000,20000000,MAHARASHTRA,10th Pass
AAP,1,6200000,0,PUNJAB,Graduate Professional
BJD,10,20000000,10000000,ODISHA,12th Pass
INC,2,40000000,3500000,MAHARASHTRA,Graduate
CPI(M),3,50000000,1300000,KERALA,Graduate Professional
NCP,1,750000000,30000000,MAHARASHTRA,10th Pass
NCP,4,7500000,3200000,MAHARASHTRA,Graduate
BJP,2,0,1100000,ODISHA,Post Graduate
BJP,0,130000000,2500000,MADHYA PRADESH,Graduate Professional
INC,0,270000000,160000000,KARNATAKA,Graduate
BJP,0,30000000,1400000,RAJASTHAN,Graduate
NCP,2,130000000,20000000,MAHARASHTRA,Graduate Professional
BJP,0,80000000,3000000,MANIPUR,Graduate
YSRCP,0,70000000,5400000,ANDHRA PRADESH,12th Pass
BJP,0,140000000,0,MADHYA PRADESH,Post Graduate
AAP,1,10000000,9800000,PUNJAB,Graduate Professional
CPI(M),8,9700000,0,KERALA,10th Pass
BJP,1,7800000,0,MADHYA PRADESH,Graduate Professional
BJP,0,9100000,1200000,GUJARAT,Others
BJP,1,10000000,0,MANIPUR,Post Graduate
INC,0,30000000,6800000,KARNATAKA,12th Pass
IND,0,20000000,4500000,MAHARASHTRA,12th Pass
AITC,1,20000000,900000,WEST BENGAL,8th Pass
BJP,2,10000000,2900000,UTTARAKHAND,Graduate
INC,0,130000000,0,JHARKHAND,12th Pass
AITC,0,30000000,0,WEST BENGAL,Post Graduate
INC,2,30000000,4400000,KARNATAKA,Graduate Professional
BJP,0,0,0,MANIPUR,Post Graduate
Tipra Motha Party,0,5000000,0,TRIPURA,Post Graduate
BJP,6,6100000,1200000,ODISHA,Graduate Professional
NPP,0,20000000,0,NAGALAND,Graduate
RJD,9,80000000,4100000,BIHAR,Post Graduate
INC,3,20000000,100000000,HIMACHAL PRADESH,12th Pass
BJP,3,20000000,1500000,UTTAR PRADESH,Graduate
AAP,8,6000000,0,GUJARAT,Graduate
YSRCP,8,50000000,10000000,ANDHRA PRADESH,8th Pass
NPP,0,20000000,0,MANIPUR,12th Pass
BJP,0,5100000,200,UTTAR PRADESH,Graduate
BJD,0,20000000,1600000,ODISHA,Post Graduate
BJD,0,10000000,0,ODISHA,12th Pass
JMM,1,5700000,0,JHARKHAND,10th Pass
BJP,1,0,0,BIHAR,12th Pass
BJP,0,10000000,1500000,UTTAR PRADESH,Graduate
BJP,0,0,0,MADHYA PRADESH,Graduate Professional
BJP,12,140000000,10000000,MADHYA PRADESH,Graduate
BJP,1,80000000,0,UTTAR PRADESH,Graduate
AAP,0,4900000,1700000,PUNJAB,Graduate
AITC,1,5500000,0,WEST BENGAL,Graduate
INC,0,200000000,1000000,CHHATTISGARH,Doctorate
BJP,1,140000000,39000,GOA,Post Graduate
BJP,0,40000000,7400000,GUJARAT,Graduate
BJP,0,8700000,600000,ASSAM,10th Pass
SHS,4,80000000,20000000,MAHARASHTRA,Graduate Professional
BJP,0,50000000,200000,GUJARAT,10th Pass
BJP,5,50000000,6000000,BIHAR,Graduate
BJP,0,0,1500000,GUJARAT,Post Graduate
BJP,0,7100000,1200000,CHHATTISGARH,Post Graduate
BJP,0,190000000,20000000,GUJARAT,Graduate
BJP,8,2930000000,1020000000,KARNATAKA,10th Pass
IND,0,10000000,0,NAGALAND,10th Pass
BJP,0,20000000,100000,GOA,Others
BJP,1,20000000,300000,UTTAR PRADESH,Post Graduate
INC,1,0,50000000,KARNATAKA,Graduate Professional
INC,0,340000000,30000000,MADHYA PRADESH,Graduate
YSRCP,1,680000000,160000000,ANDHRA PRADESH,12th Pass
SHS,7,110000000,10000000,MAHARASHTRA,Graduate
DMK,9,130000000,0,TAMIL NADU,Post Graduate
BJP,1,10000000,0,WEST BENGAL,Post Graduate
INC,3,300000,0,RAJASTHAN,Post Graduate
INC,0,10000000,400000,CHHATTISGARH,12th Pass
BJP,0,80000000,900000,ARUNACHAL PRADESH,Graduate Professional
AITC,0,300000,0,WEST BENGAL,Graduate
BJP,0,340000000,120000000,UTTAR PRADESH,12th Pass
BJP,5,40000000,10000000,UTTAR PRADESH,Post Graduate
INC,0,20000000,1300000,CHHATTISGARH,10th Pass
Tipra Motha Party,1,2600000,0,TRIPURA,Post Graduate
DMK,5,70000000,2400000,TAMIL NADU,Graduate Professional
CPI(M),1,0,500000,KERALA,Graduate
YSRCP,0,390000000,30000000,ANDHRA PRADESH,Graduate
INC,0,60000000,20000000,RAJASTHAN,Graduate Professional
RJD,1,170000000,20000000,BIHAR,Post Graduate
BJP,0,30000000,4400000,HIMACHAL PRADESH,Graduate
NDPP,0,50000000,4100000,NAGALAND,Post Graduate
NCP,1,80000000,10000000,MAHARASHTRA,Post Graduate
SP,2,40000000,0,UTTAR PRADESH,Post Graduate
NDPP,0,20000000,0,NAGALAND,Graduate
BJP,1,70000000,2100000,UTTAR PRADESH,Post Graduate
YSRCP,1,380000000,120000000,ANDHRA PRADESH,Graduate
BJP,1,2300000,3200000,MANIPUR,Graduate
INC,0,80000000,10000000,HIMACHAL PRADESH,10th Pass
BJP,19,7900000,0,WEST BENGAL,Post Graduate
DMK,5,0,1400000,TAMIL NADU,12th Pass
BJD,0,630000000,1500000,ODISHA,Graduate
JD(U),0,70000000,10000000,BIHAR,12th Pass
BJP,0,90000000,20000000,RAJASTHAN,Others
BJP,2,0,600000,WEST BENGAL,Graduate Professional
BJP,0,220000000,10000000,MAHARASHTRA,Post Graduate
NCP,0,180000000,5200000,MAHARASHTRA,12th Pass
AIADMK,1,70000000,20000000,TAMIL NADU,Graduate Professional
AITC,0,40000000,10000000,WEST BENGAL,Graduate
SP,87,0,0,UTTAR PRADESH,Graduate Professional
BJP,3,260000000,7000000,UTTAR PRADESH,Post Graduate
AITC,0,60000000,10000000,WEST BENGAL,10th Pass
BJP,0,50000000,2700000,RAJASTHAN,Graduate
BJP,0,5700000,2700000,WEST BENGAL,Graduate Professional
AITC,3,10000000,200000,WEST BENGAL,Graduate
BJP,0,80000000,10000000,MADHYA PRADESH,Graduate Professional
BJP,0,30000000,3000000,GUJARAT,12th Pass
SHS,0,170000000,50000000,MAHARASHTRA,10th Pass
BJP,0,8300000,700000,JHARKHAND,Post Graduate
JD(U),0,30000000,0,BIHAR,12th Pass
INC,0,80000000,7600000,MAHARASHTRA,Graduate
IND,6,270000000,160000000,MAHARASHTRA,12th Pass
RJD,0,40000000,10000000,BIHAR,10th Pass
IND,0,12670000000,50000000,KARNATAKA,Graduate
RJD,2,50000000,1400000,BIHAR,12th Pass
BJP,0,20000000,3000000,RAJASTHAN,Graduate
INC,0,280000000,1800000,JHARKHAND,Doctorate
BJP,0,250000000,4400000,MAHARASHTRA,12th Pass
AITC,0,10000000,2200000,WEST BENGAL,Graduate
INC,1,20000000,3500000,MADHYA PRADESH,Post Graduate
INC,2,0,1000000,MADHYA PRADESH,Graduate
BJP,0,10000000,0,MADHYA PRADESH,Graduate
BJP,0,3100000,200000,UTTARAKHAND,12th Pass
BJP,0,60000000,10000000,GUJARAT,12th Pass
SHS,0,10000000,4400000,MAHARASHTRA,10th Pass
INC,6,5300000,400000,KERALA,Graduate
BJP,0,0,10000000,GUJARAT,12th Pass
BJP,0,50000000,2500000,UTTARAKHAND,Doctorate
YSRCP,0,60000000,7400000,ANDHRA PRADESH,12th Pass
INC,3,40000000,10000000,MADHYA PRADESH,Graduate Professional
BJP,0,20000000,0,MADHYA PRADESH,Graduate
BJP,1,70000000,20000000,UTTAR PRADESH,Doctorate
INC,4,40000000,4100000,JHARKHAND,10th Pass
AITC,10,30000000,3400000,WEST BENGAL,12th Pass
BJP,1,8700000,0,WEST BENGAL,Graduate Professional
BJP,0,0,2800000,MADHYA PRADESH,5th Pass
BJP,0,580000000,2900000,UTTAR PRADESH,Graduate
AITC,0,20000000,3800000,WEST BENGAL,12th Pass
INC,0,10000000,3800000,MADHYA PRADESH,Post Graduate
INC,2,240000000,40000000,MADHYA PRADESH,Graduate Professional
DMK,7,20000000,4700000,TAMIL NADU,12th Pass
BJP,1,10000000,50000,WEST BENGAL,12th Pass
DMK,0,10000000,8500000,TAMIL NADU,Graduate
RJD,7,100000000,8500000,BIHAR,12th Pass
BJP,3,2100000,100000,UTTAR PRADESH,Graduate
AAP,1,30000000,3200000,PUNJAB,Graduate Professional
IND,0,40000000,10000000,GOA,10th Pass
BJP,0,30000000,3700000,GUJARAT,10th Pass
JD(U),7,190000000,10000000,BIHAR,Doctorate
BJP,0,10000000,1500000,HIMACHAL PRADESH,Graduate Professional
AITC,1,0,0,WEST BENGAL,12th Pass
INC,1,240000000,40000000,RAJASTHAN,Post Graduate
INC,0,10000000,0,CHHATTISGARH,12th Pass
BJP,0,20000000,0,BIHAR,Graduate
BJP,0,60000000,1100000,UTTAR PRADESH,8th Pass
BJP,9,9300000,0,MADHYA PRADESH,10th Pass
NPP,0,3500000,600000,MEGHALAYA,Graduate
SP,1,0,1200000,UTTAR PRADESH,12th Pass
YSRCP,2,10000000,0,ANDHRA PRADESH,10th Pass
AAP,2,80000000,0,PUNJAB,Post Graduate
BJP,3,4500000,0,WEST BENGAL,8th Pass
BJP,2,0,5500000,UTTAR PRADESH,Post Graduate
BJP,0,100000000,20000000,CHHATTISGARH,10th Pass
BJP,0,0,3700000,MAHARASHTRA,Graduate
BJP,4,260000000,200000000,KARNATAKA,Graduate
BJP,0,6600000,0,HIMACHAL PRADESH,10th Pass
INC,0,0,40000000,HIMACHAL PRADESH,12th Pass
BJP,0,20000000,0,ARUNACHAL PRADESH,12th Pass
SP,3,40000000,300000,UTTAR PRADESH,12th Pass
BJP,3,10000000,2200000,DELHI,Graduate Professional
BJP,1,10000000,0,UTTAR PRADESH,Graduate Professional
NCP,1,140000000,5300000,MAHARASHTRA,10th Pass
INC,4,210000000,40000000,MAHARASHTRA,Doctorate
DMK,15,20000000,4300000,TAMIL NADU,Post Graduate
BJP,0,1100000,0,UTTARAKHAND,12th Pass
BJD,29,2000000,0,ODISHA,12th Pass
AAP,0,1900000,0,GUJARAT,8th Pass
BJP,0,0,0,GUJARAT,10th Pass
YSRCP,0,200000000,50000000,ANDHRA PRADESH,8th Pass
BJP,0,1000000,61000,WEST BENGAL,Post Graduate
BJP,1,10000000,600000,BIHAR,Graduate
INC,2,50000000,100000,MAHARASHTRA,8th Pass
JD(U),0,10000000,0,BIHAR,Doctorate
AAP,1,10000000,0,PUNJAB,Post Graduate
CPI(M),0,3600000,700000,KERALA,Graduate
BJP,0,20000000,400000,UTTAR PRADESH,Post Graduate
NDPP,0,10000000,2700000,NAGALAND,Post Graduate
SP,6,50000000,0,UTTAR PRADESH,Post Graduate
INC,52,20000000,2400000,TAMIL NADU,Post Graduate
BJP,0,10000000,600000,MADHYA PRADESH,12th Pass
DMK,4,10000000,2900000,TAMIL NADU,Graduate Professional
INC,0,10000000,2400000,MADHYA PRADESH,Graduate
BJP,13,6000000,0,WEST BENGAL,10th Pass
BJP,1,70000000,4400000,MADHYA PRADESH,Graduate
BJP,0,40000000,4000000,HARYANA,12th Pass
INC,0,360000000,10000000,PUNJAB,Graduate
BJP,0,0,0,WEST BENGAL,Post Graduate
BJP,0,70000000,3300000,UTTAR PRADESH,Doctorate
BJP,7,0,7400000,UTTAR PRADESH,Graduate
BJP,1,0,40000000,KARNATAKA,Post Graduate
BJP,2,10000000,8800000,RAJASTHAN,Doctorate
BJP,3,90000000,800000,UTTAR PRADESH,Graduate Professional
INC,0,1050000000,100000000,HARYANA,Graduate
AAP,1,1100000,0,DELHI,Graduate
NPP,0,140000000,2400000,MEGHALAYA,Post Graduate
BJP,1,40000000,10000000,CHHATTISGARH,12th Pass
INC,8,380000000,110000000,KARNATAKA,Post Graduate
BJP,1,600000,0,UTTARAKHAND,12th Pass
BJP,0,100000000,2200000,RAJASTHAN,8th Pass
BJP,0,10000000,2000000,TRIPURA,8th Pass
BJP,1,70000000,0,UTTAR PRADESH,10th Pass
SHS,3,50000000,10000000,MAHARASHTRA,12th Pass
NPP,0,10000000,800000,MEGHALAYA,Post Graduate
BJP,1,40000000,20000000,KARNATAKA,Graduate Professional
INC,1,140000000,0,RAJASTHAN,Graduate Professional
AAP,4,90000000,30000000,DELHI,10th Pass
SP,1,60000000,4100000,UTTAR PRADESH,Graduate Professional
BJP,1,40000000,0,UTTAR PRADESH,12th Pass
YSRCP,0,10000000,7700000,ANDHRA PRADESH,Graduate
DMK,1,40000000,4700000,TAMIL NADU,Post Graduate
BJP,0,170000000,9800000,CHHATTISGARH,Post Graduate
BJP,0,90000000,10000000,MAHARASHTRA,Graduate
BJP,0,10000000,6200000,HARYANA,Graduate
DMK,16,20000000,800000,TAMIL NADU,Graduate Professional
AIADMK,0,0,0,TAMIL NADU,Post Graduate
BJP,1,50000000,700000,GOA,Graduate
YSRCP,3,8500000,1600000,ANDHRA PRADESH,Post Graduate
INC,2,350000000,120000000,KARNATAKA,Graduate Professional
BJP,0,140000000,0,UTTAR PRADESH,Graduate Professional
INC,0,150000000,9100000,KARNATAKA,Graduate Professional
BJP,0,10000000,0,GUJARAT,10th Pass
INC,1,11560000000,8810000000,KARNATAKA,Post Graduate
TDP,0,490000000,130000000,ANDHRA PRADESH,Graduate
JD(U),0,90000000,0,ARUNACHAL PRADESH,Graduate Professional
BJP,0,150000000,80000000,BIHAR,10th Pass
BJP,9,70000000,40000000,BIHAR,10th Pass
AITC,0,10000000,400000,WEST BENGAL,Graduate
IND,5,180000000,74000,ARUNACHAL PRADESH,10th Pass
AITC,0,10000000,0,WEST BENGAL,8th Pass
INC,1,10000000,200000,MADHYA PRADESH,Graduate
INC,3,280000000,240000000,RAJASTHAN,Post Graduate
IND,2,0,3600000,MAHARASHTRA,12th Pass
INC,1,10000000,400000,MAHARASHTRA,12th Pass
AAP,2,30000000,1300000,PUNJAB,10th Pass
BJP,0,100000000,50000000,ASSAM,Post Graduate
NCP,0,120000000,100000000,MAHARASHTRA,Graduate
BJP,0,0,6900000,HARYANA,Graduate Professional
BJP,0,740000000,20000000,MADHYA PRADESH,Graduate Professional
INC,8,40000000,0,HIMACHAL PRADESH,Post Graduate
INC,1,80000000,2600000,TAMIL NADU,Post Graduate
BJP,0,10000000,1300000,HARYANA,Graduate
DMK,7,70000000,100000,TAMIL NADU,Post Graduate
BJP,1,170000000,80000000,GUJARAT,8th Pass
BJP,0,20000000,5400000,HIMACHAL PRADESH,Graduate Professional
DMK,22,370000000,60000000,TAMIL NADU,Post Graduate
SP,13,0,0,UTTAR PRADESH,Post Graduate
BJP,0,20000000,1200000,UTTAR PRADESH,Post Graduate
BJP,2,100000000,7200000,UTTAR PRADESH,Graduate Professional
AITC,0,60000000,1000000,WEST BENGAL,Post Graduate
INC,1,10000000,0,MADHYA PRADESH,10th Pass
BJP,1,50000000,8400000,UTTAR PRADESH,Graduate
BJP,0,20000000,2700000,BIHAR,Graduate
BJP,0,100000000,20000000,HARYANA,12th Pass
INC,0,0,8700000,CHHATTISGARH,Graduate
AIADMK,0,10000000,0,TAMIL NADU,Post Graduate
BJP,3,150000000,0,UTTAR PRADESH,12th Pass
NCP,0,40000000,0,NAGALAND,Graduate
CPI(M),0,10000000,2800000,KERALA,Graduate
BJP,0,10000000,3400000,ASSAM,Graduate Professional
INC,0,10000000,100000,UTTARAKHAND,Graduate Professional
BJP,1,100000000,50000000,KARNATAKA,Post Graduate
INC,0,20000000,60000,MADHYA PRADESH,Post Graduate
RJD,4,40000000,0,BIHAR,Graduate Professional
BJP,0,300000000,0,KARNATAKA,5th Pass
AITC,1,40000000,10000000,WEST BENGAL,12th Pass
INC,0,70000000,9600000,CHHATTISGARH,Post Graduate
BJP,1,100000000,1300000,MAHARASHTRA,10th Pass
BJP,1,10000000,1200000,UTTAR PRADESH,12th Pass
INC,1,4500000,400000,HIMACHAL PRADESH,Graduate Professional
AAP,1,24000,0,PUNJAB,Graduate Professional
BJP,1,120000000,20000000,UTTAR PRADESH,Post Graduate
BJP,0,5300000,0,MADHYA PRADESH,Graduate Professional
INC,1,60000000,2000000,KARNATAKA,12th Pass
BJP,0,200000,0,RAJASTHAN,Post Graduate
INC,0,50000000,5400000,CHHATTISGARH,Graduate
YSRCP,0,5600000,3200000,ANDHRA PRADESH,Post Graduate
AAP,1,40000000,200000,DELHI,10th Pass
BJP,0,9900000,400000,GUJARAT,Graduate Professional
BJP,5,10000000,24000,BIHAR,12th Pass
YSRCP,2,160000000,20000000,ANDHRA PRADESH,Doctorate
YSRCP,2,0,9600000,ANDHRA PRADESH,Graduate Professional
INC,6,230000000,7900000,KARNATAKA,12th Pass
BJD,6,140000000,20000000,ODISHA,8th Pass
IND,0,590000000,30000000,GOA,Post Graduate
INC,3,920000000,280000000,GOA,12th Pass
BJP,0,10000000,0,GUJARAT,Post Graduate
JD(U),0,7700000,0,BIHAR,Graduate
AIADMK,3,40000000,0,TAMIL NADU,Graduate
AIADMK,0,0,10000000,TAMIL NADU,10th Pass
BJP,0,20000000,3100000,UTTAR PRADESH,12th Pass
BJP,5,220000000,30000000,MAHARASHTRA,Graduate
AIADMK,0,180000000,150000000,TAMIL NADU,12th Pass
INC,2,10000000,3200000,MAHARASHTRA,12th Pass
BJP,1,100000000,10000000,ASSAM,12th Pass
AAP,0,0,9800000,DELHI,10th Pass
NDPP,0,0,0,NAGALAND,Post Graduate
BJP,1,7000000,27000,GUJARAT,Graduate Professional
BJP,1,60000000,0,MADHYA PRADESH,Doctorate
INC,0,10000000,2700000,ASSAM,Graduate Professional
INC,1,20000000,3100000,KARNATAKA,10th Pass
INC,5,110000000,0,TAMIL NADU,Post Graduate
SHS,9,20000000,2200000,MAHARASHTRA,10th Pass
AAP,1,360000000,4000000,PUNJAB,Post Graduate
YSRCP,0,180000000,10000000,ANDHRA PRADESH,12th Pass
INC,2,40000000,7500000,MADHYA PRADESH,Graduate
INC,0,9600000,300000,GUJARAT,12th Pass
BJP,1,40000000,2700000,BIHAR,Graduate
INC,0,10000000,9300000,CHHATTISGARH,Post Graduate
INC,1,40000000,10000000,GOA,Graduate
DMK,23,0,900000,TAMIL NADU,Graduate Professional
INC,0,10000000,6700000,MADHYA PRADESH,12th Pass
INC,0,60000000,20000000,KARNATAKA,12th Pass
BJP,0,20000000,2700000,RAJASTHAN,Post Graduate
BJP,1,390000000,4700000,MADHYA PRADESH,Graduate Professional
BJP,1,10000000,4000000,GOA,Graduate Professional
JD(U),11,0,9300000,BIHAR,12th Pass
INC,0,20000000,1200000,JHARKHAND,Graduate
AITC,0,670000000,60000000,WEST BENGAL,10th Pass
BJP,1,0,3600000,MADHYA PRADESH,12th Pass
AITC,0,0,2000000,WEST BENGAL,Graduate Professional
INC,0,20000000,0,UTTARAKHAND,Graduate
AAP,0,20000000,2500000,PUNJAB,12th Pass
AITC,11,4100000,90000,WEST BENGAL,12th Pass
SHS,0,90000000,10000000,MAHARASHTRA,Graduate Professional
NDPP,0,20000000,0,NAGALAND,Graduate
BJP,0,2600000,0,WEST BENGAL,Graduate Professional
DMK,10,260000000,70000000,TAMIL NADU,12th Pass
BJP,1,270000000,50000000,JHARKHAND,Graduate
BJP,0,40000000,5000000,GUJARAT,8th Pass
CPI(M),10,4200000,0,KERALA,8th Pass
BJP,0,0,2300000,MADHYA PRADESH,12th Pass
AITC,1,4300000,0,WEST BENGAL,Post Graduate
JMM,0,10000000,0,JHARKHAND,12th Pass
BJP,0,80000000,10000000,MADHYA PRADESH,Graduate Professional
SP,10,60000000,3600000,UTTAR PRADESH,Graduate
JD(U),3,0,0,BIHAR,Graduate
INC,7,30000000,20000000,KERALA,Graduate
BJP,0,70000000,0,UTTAR PRADESH,Literate
AAP,0,50000000,500000,GOA,Others
BJP,1,70000000,7000000,MAHARASHTRA,Graduate Professional
BJP,0,1000000,0,UTTAR PRADESH,8th Pass
INC,0,160000000,30000000,MADHYA PRADESH,10th Pass
INC,0,3400000,100000,JHARKHAND,12th Pass
INC,8,20000000,7900000,MADHYA PRADESH,Post Graduate
BJP,3,5600000,1000000,MADHYA PRADESH,8th Pass
INC,2,200000000,40000000,KARNATAKA,8th Pass
BJP,2,7700000,2000000,RAJASTHAN,Literate
BJP,0,10000000,400000,UTTAR PRADESH,Post Graduate
INC,0,50000000,3200000,HIMACHAL PRADESH,Graduate
AAP,2,80000000,7400000,DELHI,Graduate
BJP,0,10000000,0,ARUNACHAL PRADESH,Graduate
YSRCP,2,100000000,20000000,ANDHRA PRADESH,10th Pass
SP,1,400000000,4300000,UTTAR PRADESH,Graduate Professional
BJP,0,30000000,1500000,MADHYA PRADESH,12th Pass
BJP,0,30000000,1800000,RAJASTHAN,Others
INC,0,50000000,1500000,PUNJAB,12th Pass
BJP,2,0,700000,CHHATTISGARH,12th Pass
BJP,0,20000000,800000,MADHYA PRADESH,8th Pass
BJP,0,1600000,0,ASSAM,Post Graduate
BJP,0,190000000,10000000,KARNATAKA,Graduate
INC,2,10000000,0,HIMACHAL PRADESH,12th Pass
BJP,1,50000000,10000000,RAJASTHAN,12th Pass
SP,0,20000000,4500000,UTTAR PRADESH,12th Pass
BJP,0,30000000,700000,RAJASTHAN,Post Graduate
AAP,0,20000000,1400000,GUJARAT,10th Pass
AITC,3,8200000,2700000,WEST BENGAL,Graduate
NCP,2,8200000,5500000,MAHARASHTRA,12th Pass
BJP,0,30000000,5700000,HARYANA,10th Pass
BJD,0,10000000,600000,ODISHA,10th Pass
AITC,0,20000000,0,WEST BENGAL,Doctorate
INC,0,30000000,0,TAMIL NADU,Graduate Professional
NCP,0,70000000,0,NAGALAND,Graduate
BJP,0,70000000,10000000,MADHYA PRADESH,Post Graduate
AITC,0,9000000,0,WEST BENGAL,Graduate
SP,4,10000000,0,UTTAR PRADESH,Graduate
INC,0,160000000,10000000,HARYANA,Doctorate
BJP,1,400000000,20000000,UTTAR PRADESH,Post Graduate
INC,4,3900000,2800000,MADHYA PRADESH,12th Pass
BJD,0,10000000,100000,ODISHA,Graduate
NCP,1,8300000,6900000,MAHARASHTRA,Post Graduate
BJP,3,250000000,10000000,MAHARASHTRA,10th Pass
AAP,0,300000,0,PUNJAB,12th Pass
BJP,0,90000000,3300000,NAGALAND,Graduate
AIADMK,0,60000000,10000000,TAMIL NADU,Post Graduate
TDP,0,410000000,4800000,ANDHRA PRADESH,Post Graduate
AITC,3,40000000,0,WEST BENGAL,Graduate
BJP,0,40000000,5000000,TRIPURA,12th Pass
INC,13,20000000,2000000,ODISHA,10th Pass
SHS,2,10000000,5000000,MAHARASHTRA,12th Pass
BJP,1,270000000,30000000,KARNATAKA,Graduate
AITC,0,20000000,900000,WEST BENGAL,Graduate Professional
AIADMK,0,4500000,0,TAMIL NADU,10th Pass
BJP,0,10000000,1000000,GUJARAT,8th Pass
AAP,3,10000000,60000,PUNJAB,Post Graduate
NDPP,0,80000000,0,NAGALAND,Post Graduate
BJP,0,4600000,100000,GUJARAT,Doctorate
NCP,0,110000000,1500000,MAHARASHTRA,Graduate
BJP,0,9700000,1300000,TRIPURA,12th Pass
BJP,0,0,8300000,ODISHA,Graduate
BJP,0,10000000,1400000,UTTAR PRADESH,Post Graduate
BJP,0,60000000,0,MADHYA PRADESH,Post Graduate
AAP,0,0,200000,DELHI,Others
INC,0,170000000,0,KARNATAKA,Graduate
YSRCP,0,80000000,10000000,ANDHRA PRADESH,12th Pass
BJP,0,5500000,0,UTTARAKHAND,10th Pass
BJP,0,50000000,10000000,GUJARAT,10th Pass
IND,0,90000000,3500000,PUDUCHERRY,Post Graduate
BJP,0,20000000,0,MAHARASHTRA,Others
BJP,0,8600000,0,ASSAM,Post Graduate
SP,0,2200000,0,UTTAR PRADESH,Graduate
BJP,12,30000000,5700000,RAJASTHAN,Graduate Professional
BJP,0,610000000,60000000,MADHYA PRADESH,12th Pass
BJD,0,10000000,200000,ODISHA,Post Graduate
INC,1,80000000,30000000,CHHATTISGARH,Post Graduate
BJP,0,50000000,20000000,RAJASTHAN,Graduate
INC,7,210000000,180000000,KARNATAKA,12th Pass
IND,0,20000000,4300000,HARYANA,Post Graduate
NPP,0,40000000,0,ARUNACHAL PRADESH,Graduate
BJP,1,0,40000000,TAMIL NADU,Post Graduate
BJP,0,20000000,0,GUJARAT,12th Pass
INC,2,920000000,280000000,GOA,Graduate
DMK,30,20000000,900000,TAMIL NADU,Graduate
AITC,1,10000000,5500000,WEST BENGAL,12th Pass
BJP,0,30000000,3500000,NAGALAND,Graduate Professional
INC,2,80000000,1400000,MADHYA PRADESH,Post Graduate
AITC,1,9600000,0,WEST BENGAL,Post Graduate
AAP,1,40000000,4100000,PUNJAB,Graduate Professional
BJP,0,110000000,0,NAGALAND,8th Pass
BJP,0,0,2900000,GUJARAT,Post Graduate
BJP,0,30000000,3500000,BIHAR,Graduate
NCP,2,0,20000000,MAHARASHTRA,Graduate Professional
AAP,0,1700000,900000,PUNJAB,Graduate Professional
BJP,0,40000000,400000,CHHATTISGARH,12th Pass
